ID_SCUOLA;CODICE_SCUOLA;DENOMINAZIONE;TIPO_SCUOLA;ENTE;REGIONE;PROVINCIA;COMUNE;CAP;INDIRIZZO;TELEFONO;LIVELLO_FUNZIONALE;CODICE_SCUOLA_RIFERIMENTO;TIPOLOGIA;TIPOLOGIA_SEDE;PARITA;CODICE_ISTAT;
11123;FGTL01150Q;IST. TECN. PER GEOM.PAVONCELLI  (CORSO SERALE);ISTITUTO TECNICO PER GEOMETRI;Statale;PUGLIA;FOGGIA;CERIGNOLA;;CORSO SCUOLA AGRARIA;;CORSO SERALE;FGTL01101B;;;;071020;
1976;FGTL01950A;EUCLIDE (CORSO SERALE);ISTITUTO TECNICO PER GEOMETRI;Statale;PUGLIA;FOGGIA;MANFREDONIA;71043;VIA SCALORIA, 141;0884 582179;CORSO SERALE;FGTL019012;SS;;;071029;
9033;FGPSX00209;FAZZINI;LICEO SCIENTIFICO;Statale;PUGLIA;FOGGIA;VIESTE;71019;VIA GIOVANNI XXIII, 105;;;;;;;071060;
9493;FGPMX00668;SAN FRANCESCO D'ASSISI;LICEO SCIENZE SOCIALI (ex IST. MAGISTRALE);Non statale;PUGLIA;FOGGIA;CERIGNOLA;71042;CORSO ROMA;;;;;LEGALMENTE RICONOSCIUTA;;071020;
10743;FGIS03700V;A.MINUZIANO - DI SANGRO ALBERTI;ISTITUTO SUPERIORE;Statale;PUGLIA;FOGGIA;SAN SEVERO;71016;VIA APRICENA;0882 222860;ISTITUTO PRINCIPALE;;IS;;;071051;
8149;FGIS001004;GIAN TOMMASO GIORDANI;ISTITUTO SUPERIORE;Statale;PUGLIA;FOGGIA;MONTE SANT'ANGELO;71037;VIA ORTO CAPPUCCINI 1;0884 561120;ISTITUTO PRINCIPALE;;IS;;;071033;
8154;FGIS007003;GENEROSO DE ROGATIS;ISTITUTO SUPERIORE;Statale;PUGLIA;FOGGIA;SAN NICANDRO GARGANICO;71015;STRADA STATALE 89;0882 491038;ISTITUTO PRINCIPALE;;IS;;;071049;
8155;FGIS00800V;L.EINAUDI;ISTITUTO SUPERIORE;Statale;PUGLIA;FOGGIA;FOGGIA;71121;PIAZZA GOPPINGEN 4;0881 721209;ISTITUTO PRINCIPALE;;IS;;;071024;
8156;FGIS00900P;A. MARRONE;ISTITUTO SUPERIORE;Statale;PUGLIA;FOGGIA;LUCERA;71036;VIALE DANTE;0881 521010;ISTITUTO PRINCIPALE;;IS;;;071028;
8157;FGIS01100P;G. PAVONCELLI;ISTITUTO SUPERIORE;Statale;PUGLIA;FOGGIA;CERIGNOLA;71042;CORSO SCUOLA AGRARIA, 2;0885 21043;ISTITUTO PRINCIPALE;;IS;;;071020;
8158;FGIS01200E;M. DI SANGRO;ISTITUTO SUPERIORE;Statale;PUGLIA;FOGGIA;SAN SEVERO;71016;VIA VERDI, 20;0882 21026;ISTITUTO PRINCIPALE;;IS;;;071051;
8159;FGIS01300A;RODI GARGANICO;ISTITUTO SUPERIORE;Statale;PUGLIA;FOGGIA;RODI GARGANICO;71012;VIA G. ALTOMARE 10;0884 966585;ISTITUTO PRINCIPALE;;IS;;;071043;
8160;FGIS014006;ISTITUTO TECNICO COMMERCIALE D. FIORITTO;ISTITUTO SUPERIORE;Statale;PUGLIA;FOGGIA;SAN NICANDRO GARGANICO;71015;STRADA STATALE 89;0882 672582;ISTITUTO PRINCIPALE;;IS;;;071049;
8161;FGIS01600T;A.MINUZIANO;ISTITUTO SUPERIORE;Statale;PUGLIA;FOGGIA;SAN SEVERO;71016;VIA V.ZO ALFIERI;0882 222860;ISTITUTO PRINCIPALE;;IS;;;071051;
8162;FGIS01700N;ITN ROTUNDI - ITI FERMI;ISTITUTO SUPERIORE;Statale;PUGLIA;FOGGIA;MANFREDONIA;71043;VIA SOTTOTENENTE TROIANO;0884 582021;ISTITUTO PRINCIPALE;;IS;;;071029;
8163;FGIS01800D;G. C. RISPOLI;ISTITUTO SUPERIORE;Statale;PUGLIA;FOGGIA;SAN SEVERO;71016;V.LE 2 GIUGNO;0882 22419;ISTITUTO PRINCIPALE;;IS;;;071051;
8164;FGIS019009;ALDO MORO;ISTITUTO SUPERIORE;Statale;PUGLIA;FOGGIA;MANFREDONIA;71043;VIALE MIRAMARE;0884 5811799;ISTITUTO PRINCIPALE;;IS;;;071029;
8165;FGIS021009;PIETRO GIANNONE;ISTITUTO SUPERIORE;Statale;PUGLIA;FOGGIA;SAN MARCO IN LAMIS;71014;VIA P. G. FRASSATI,2;0882 831270;ISTITUTO PRINCIPALE;;IS;;;071047;
8166;FGIS044002;FIANI - T.LECCISOTTI;ISTITUTO SUPERIORE;Statale;PUGLIA;FOGGIA;TORREMAGGIORE;71017;VIA ASPROMONTE, 158 ;0882 381469;ISTITUTO PRINCIPALE;;IS;;;071056;
8169;FGIS048009;AUGUSTO RIGHI;ISTITUTO SUPERIORE;Statale;PUGLIA;FOGGIA;CERIGNOLA;71042;VIA XXV APRILE;0885 421062;ISTITUTO PRINCIPALE;;IS;;;071020;
8170;FGIS02900X;ENRICO PESTALOZZI;ISTITUTO SUPERIORE;Statale;PUGLIA;FOGGIA;SAN SEVERO;71016;VIA GIUSEPPE DI VITTORIO 203;0882 373491;ISTITUTO PRINCIPALE;;IS;;;071051;
9003;FGPLX00179;SACRO CUORE;LICEO LINGUISTICO;Non statale;PUGLIA;FOGGIA;MANFREDONIA;71043;VIA SCALORIA, 152;0884 582956;;;;LEGALMENTE RICONOSCIUTA;;071029;
9019;FGPSX00195;FERMI;LICEO SCIENTIFICO;Statale;PUGLIA;FOGGIA;SAN MARCO IN LAMIS;71014;VIA GRANDI, 12;0882 831270;;;;;;071047;
