ID_DIPLOMA;DESCRIZIONE;TIPO_SCUOLA;CODICE_TIPO_SCUOLA;
105;ARTE APPL. - SEZ. ARTE DEL MOBILE;ISTITUTO D'ARTE;SD;
106;ARTE APPL. - SEZ. ARTE DEI METALLI;ISTITUTO D'ARTE;SD;
107;ARTE APPL. - SEZ. ARTE DEL MOSAICO;ISTITUTO D'ARTE;SD;
108;ARTE APPL. - SEZ. ARTE DELLA PORCELLANA;ISTITUTO D'ARTE;SD;
109;ARTE APPL. - SEZ. TECNOLOGIA CERAMICA;ISTITUTO D'ARTE;SD;
110;ARTE APPL. - SEZ. ARTE DEL CORALLO;ISTITUTO D'ARTE;SD;
111;ARTE APPL. - SEZ. ARTE DEL MERLETTO E DEL RICAMO;ISTITUTO D'ARTE;SD;
112;ARTE APPL. - SEZ. OREFICERIA;ISTITUTO D'ARTE;SD;
207;MATURITA' ARTISTICA O D'ARTE APPLICATA (GENERICO);ISTITUTO D'ARTE;SD;
210;MATURITA' ARTISTICA - DIPLOMA QUADRIENNALE e ANNO INTEGRATIVO;ISTITUTO D'ARTE;SD;
214;ARTE APPLICATA (GENERICO);ISTITUTO D'ARTE;SD;
44;LICEO ARTISTICO - DURATA QUINQUENNALE;LICEO ARTISTICO;SL;
45;SPERIM. ARCHITETTURA E DESIGN;LICEO ARTISTICO;SL;
46;SPERIM. CATALOG. E CONSERV.  BENI  CULTURALI;LICEO ARTISTICO;SL;
47;SPERIM. FIGURATIVO;LICEO ARTISTICO;SL;
48;SPERIM. GRAFICO VISIVO;LICEO ARTISTICO;SL;
49;SECONDA SEZIONE ARCHITETTURA;LICEO ARTISTICO;SL;
99;SPERIM. COREUTICO;LICEO ARTISTICO;SL;
113;PRIMA SEZIONE ACCADEMIA;LICEO ARTISTICO;SL;
114;SPERIM. MUSICALE;LICEO ARTISTICO;SL;
208;DIPLOMA DI CONSERVATORIO 5 ANNI;CONSERVATORIO DI MUSICA;ST;
50;PERITO AGRARIO;ISTITUTO TECNICO AGRARIO;TA;
51;PERITO AGRARIO E SPECIAL. PER LA VITICOLT. E L'ENOLOGIA;ISTITUTO TECNICO AGRARIO;TA;
52;PERITO AERONAUTICO SPEC. ASSISTENTE NAVIGAZIONE AEREA;ISTITUTO TECNICO AREONAUTICO;TB;
53;PERITO AERONAUTICO SPEC. NAVIGAZIONE AEREA;ISTITUTO TECNICO AREONAUTICO;TB;
102;PERITO AERONAUTICO SPEC. ASSISTENTE NAVIG. AEREA + NAVIG. AEREA;ISTITUTO TECNICO AREONAUTICO;TB;
205;AREONAUTICO (GENERICO);ISTITUTO TECNICO AREONAUTICO;TB;
54;RAGIONIERE E PERITO COMMERCIALE;ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI;TD;
54;RAGIONIERE E PERITO COMMERCIALE;ISTITUTO TECNICO COMMERCIALE;TD;
57;RAGIONIERE PERITO COMMERCIALE E PROGRAMMATORE;ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI;TD;
57;RAGIONIERE PERITO COMMERCIALE E PROGRAMMATORE;ISTITUTO TECNICO COMMERCIALE;TD;
101;PERITO AZIENDALE E CORRISPONDENTE IN LINGUE ESTERE;ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI;TD;
101;PERITO AZIENDALE E CORRISPONDENTE IN LINGUE ESTERE;ISTITUTO TECNICO COMMERCIALE;TD;
206;TECNICO COMMERCIALE(GENERICO);ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI;TD;
206;TECNICO COMMERCIALE(GENERICO);ISTITUTO TECNICO COMMERCIALE;TD;
59;ATTIVITA' SOCIALI - INDIRIZZO GENERALE;ISTITUTO TECNICO PER ATTIVITA' SOCIALI (GIA' ITF);TE;
60;ATTIVITA' SOCIALI - SPECIALIZ. ECONOMO-DIETISTA;ISTITUTO TECNICO PER ATTIVITA' SOCIALI (GIA' ITF);TE;
61;ATTIVITA' SOCIALI - SPECIALIZZ. DIRIG. COMUNITA';ISTITUTO TECNICO PER ATTIVITA' SOCIALI (GIA' ITF);TE;
202;ATTIVITA' SOCIALI (GENERICO);ISTITUTO TECNICO PER ATTIVITA' SOCIALI (GIA' ITF);TE;
63;PER. IND.LE CAPOTEC.-SPEC. ELETTRON.E TELECOMUN.;ISTITUTO TECNICO INDUSTRIALE;TF;
64;PER. IND.LE CAPOTEC.-SPEC. ELETTROTEC.E AUTOMAZ;ISTITUTO TECNICO INDUSTRIALE;TF;
65;PER. IND.LE CAPOTEC.-SPEC. PRODUZIONE TESSILI;ISTITUTO TECNICO INDUSTRIALE;TF;
66;PER. IND.LE CAPOTEC.-SPEC. CONFEZIONE INDUSTR.;ISTITUTO TECNICO INDUSTRIALE;TF;
67;PER. IND.LE CAPOTEC.-SPEC. MECCANICA;ISTITUTO TECNICO INDUSTRIALE;TF;
68;PER. IND.LE CAPOTEC.-SPEC. INDUSTRIA TINTORIA;ISTITUTO TECNICO INDUSTRIALE;TF;
69;PER. IND.LE CAPOTEC.-SPEC. ARTI GRAFICHE;ISTITUTO TECNICO INDUSTRIALE;TF;
72;PER. IND.LE CAPOTEC.-SPEC. CHIMICO;ISTITUTO TECNICO INDUSTRIALE;TF;
73;PER. IND.LE CAPOTEC.-SPEC. INFORMATICA;ISTITUTO TECNICO INDUSTRIALE;TF;
74;PER. IND.LE CAPOTEC.-SPEC. EDILIZIA;ISTITUTO TECNICO INDUSTRIALE;TF;
75;PER. IND.LE CAPOTEC.-SPEC. ENERGIA NUCLEARE;ISTITUTO TECNICO INDUSTRIALE;TF;
76;PER. IND.LE CAPOTEC.-SPEC. FISICA INDUSTRIALE;ISTITUTO TECNICO INDUSTRIALE;TF;
78;PER. IND.LE CAPOTEC.-SPEC. COSTRUZ. AERONAUT.;ISTITUTO TECNICO INDUSTRIALE;TF;
82;PER. IND.LE CAPOTEC.-SPEC. INDUSTRIA MINERARIA;ISTITUTO TECNICO INDUSTRIALE;TF;
84;PER. IND.LE CAPOTEC.-SPEC. TECNOLOG.ALIMENT.;ISTITUTO TECNICO INDUSTRIALE;TF;
85;PER. IND.LE CAPOTEC.-SPEC. TERMOTECNICA;ISTITUTO TECNICO INDUSTRIALE;TF;
86;PER. IND.LE CAPOTEC.-SPEC. DISEGNO TESSUTI;ISTITUTO TECNICO INDUSTRIALE;TF;
87;PER. IND.LE CAPOTEC.-SPEC. INDUSTRIA NAVALMEC.;ISTITUTO TECNICO INDUSTRIALE;TF;
88;PER. IND.LE CAPOTEC.-SPEC. ARTI FOTOGRAFICHE;ISTITUTO TECNICO INDUSTRIALE;TF;
90;PER. IND.LE CAPOTEC.-SPEC. INDUSTRIA CARTARIA;ISTITUTO TECNICO INDUSTRIALE;TF;
91;PER. IND.LE CAPOTEC.-SPEC. INDUSTRIA OTTICA;ISTITUTO TECNICO INDUSTRIALE;TF;
92;PER. IND.LE CAPOTEC.-SPEC. MATERIE PLASTICHE;ISTITUTO TECNICO INDUSTRIALE;TF;
93;PER. IND.LE CAPOTEC.-SPEC. METALLURGIA;ISTITUTO TECNICO INDUSTRIALE;TF;
94;PER. IND.LE CAPOTEC.-SPEC. CHIMICA CONCIARIA;ISTITUTO TECNICO INDUSTRIALE;TF;
203;TECNICO INDUSTRIALE (GENERICO);ISTITUTO TECNICO INDUSTRIALE;TF;
209;ABILITAZIONE TECNICA FEMMINILE 5 ANNI;ISTITUTO TECNICO INDUSTRIALE;TF;
212;TECNICO SPERIMENTALE AD INDIRIZZO LINGUISTICO;ISTITUTO TECNICO INDUSTRIALE;TF;
213;TECNICO (GENERICO);ISTITUTO TECNICO INDUSTRIALE;TF;
95;ASPIRANTE AL COMANDO DI NAVI MERCANTILI;ISTITUTO TECNICO NAUTICO;TH;
96;ASPIRANTE ALLA PROFESS.NE DI COSTRUTTORE NAVALE;ISTITUTO TECNICO NAUTICO;TH;
97;ASPIRANTE DIREZ.NE DI MACCHINE DI NAVI MERCANTILI;ISTITUTO TECNICO NAUTICO;TH;
204;NAUTICO (GENERICO);ISTITUTO TECNICO NAUTICO;TH;
98;GEOMETRA;ISTITUTO TECNICO PER GEOMETRI;TL;
100;PERITO PER IL TURISMO;ISTITUTO TECNICO PER IL TURISMO;TN;
