ID_UNIVERSITA;NOME;STATALE;VIA;CAP;COD_COMUNE;COMUNE;PROVINCIA;COD_TIPO_STRUTTURA_ATENEO;NOTA;ANNO_INTRODUZIONE;
E7;Università Telematica  "ITALIAN UNIVERSITY LINE";Non Statale;Via M. Buonarroti, 10;5122 ;048017;FIRENZE;FI;UNITEL;Istituita con Decreto Ministeriale del 2 dicembre 2005;2006;
E2;Università Telematica Giustino Fortunato;Non Statale;Viale R. Delcogliano, 12;82100;062008;BENEVENTO;BN;UNITEL;Istituita con Decreto Ministeriale del 13 aprile 2006;2006;
E1;Università Telematica Pegaso;Non Statale;Via Vittoria Colonna, 14;80121;063049;NAPOLI;NA;UNITEL;Istituita con Decreto Ministeriale del 20 aprile 2006;2006;
E0;Università Telematica Niccolò Cusano;Non Statale;Via Don Carlo Gnocchi, 3;00166;058091;ROMA;RM;UNITEL;Istituita con Decreto Ministeriale del 10 maggio 2006;2006;
E4;Università Telematica San Raffaele Roma;Non Statale;Via di Val Cannuta, 247;00166;058091;ROMA;RM;UNITEL;Istituita con Decreto Ministeriale del 8 maggio 2006. ;2006;
D9;Università Telematica e-Campus;Non Statale;Via Isimbardi, 10;22060;013163;NOVEDRATE;CO;UNITEL;Istituita con Decreto Ministeriale del 30 gennaio 2006;2006;
E8;Telematica Universitas Mercatorum;Non Statale;via Appia Pignatelli, 62;00187;058091;ROMA;RM;UNITEL;Istituita con Decreto Ministeriale del 18 maggio 2006;2006;
S01;Scuola Superiore per Mediatori Linguistici "F. Casati" di Como;Non Statale;;;013075;COMO;CO;SSML - LING;Decreto di conferma del riconoscimento 31/07/2003 G.U. n. 205 del 04/09/2003;;
S02;Scuola Superiore per Mediatori Linguistici di Maddaloni;Non Statale;;;061048;MADDALONI;CE;SSML - LING;Decreto di conferma del riconoscimento 31/07/2003 G.U. n. 199 del 28/08/2003;;
S03;Scuola Superiore per Mediatori Linguistici di Mantova;Non Statale;;;020030;MANTOVA;MN;SSML - LING;Decreto di conferma del riconoscimento 31/07/2003 G.U. n. 201 del 30/08/2003;;
S04;Scuola Superiore per Mediatori Linguistici (Scuole Civiche di Milano);Non Statale;;;015146;MILANO;MI;SSML - LING;Decreto di conferma del riconoscimento 31/07/2003 G.U. n. 207 del 06/09/2003;;
S05;Scuola Superiore per Mediatori Linguistici "Carlo Bo" di Milano;Non Statale;;;015146;MILANO;MI;SSML - LING;Decreto di conferma del riconoscimento 31/07/2003 G.U. n. 201 del 30/08/2003;;
S06;Scuola Superiore per Mediatori Linguistici "San Pellegrino" di Misano  Adriatico;Non Statale;;;099005;MISANO ADRIATICO;RN;SSML - LING;Decreto di conferma del riconoscimento 31/07/2003 G.U. n. 198 del 27/08/2003;;
