COD;DES
886;PSICOLOGIA DELL'ARTE E DELLA LETTERATURA V.O
887;PSICOLOGIA DELL'ARTE E DELLA LETTERATURA II V.O
888;PSICOLOGIA DELL'ARTE E DELLA LETTERATURA III V.O
889;RETORICA E STILISTICA II V.O
890;RETORICA E STILISTICA III V.O
891;STORIA DEL CINEMA ITALIANO III V.O
892;STORIA DEI LINGUAGGI I V.O
893;STORIA DEI LINGUAGGI II V.O
894;STORIA DEL MELODRAMMA V.O
895;STORIA DEL MELODRAMMA I V.O
896;STORIA DEL MELODRAMMA III V.O
897;STORIA DEL TEATRO INGLESE II V.O
898;STORIA DEL TEATRO INGLESE III V.O
899;STORIA DELL'ESTETICA MODERNA II V.O
900;STORIA DELLE TEORICHE TEATRALI V.O
901;STORIA DELLE TEORICHE TEATRALI I V.O
902;STORIA DELLE TEORICHE TEATRALI III V.O
903;STORIA DELLE TEORICHE DEL CINEMA II V.O
904;STORIA DELLE TEORICHE DEL CINEMA III V.O
905;STORIA E TECNICA DELLA FOTOGRAFIA I V.O
906;STORIA E TECNICA DELLA FOTOGRAFIA III V.O
907;LINGUA NEO-GRECA (PROVA SCRITTA) V.O
